Month;Day;Year;Discharge (bbl);InlandRecovery (T);Burned (bbl);RITT_TopHat (bbl);OilyWater (bbl);SubsurfDispersants (gal);SurfaceDispersants (gal)
8;10;2010;0;41693;0;0;170;0;0
8;11;2010;0;0;0;0;0;0;0
8;12;2010;0;0;0;0;0;0;0
8;13;2010;0;0;0;0;0;0;0
8;14;2010;0;0;0;0;0;0;0
8;15;2010;0;0;0;0;0;0;0
8;16;2010;0;0;0;0;0;0;0
8;17;2010;0;4222;0;0;0;0;0
8;18;2010;0;0;0;0;0;0;0
8;19;2010;0;0;0;0;0;0;0
8;20;2010;0;0;0;0;0;0;0
8;21;2010;0;0;0;0;0;0;0
8;22;2010;0;0;0;0;0;0;0
8;23;2010;0;0;0;0;0;0;0
8;24;2010;0;0;0;0;0;0;0
8;25;2010;0;0;0;0;0;0;0
8;26;2010;0;2424;0;0;0;0;0
8;27;2010;0;0;0;0;0;0;0
8;28;2010;0;0;0;0;0;0;0
8;29;2010;0;0;0;0;0;0;0
8;30;2010;0;0;0;0;0;0;0
8;31;2010;0;2134;0;0;0;0;0
9;1;2010;0;126;0;0;0;0;0
9;2;2010;0;0;0;0;0;0;0
9;3;2010;0;0;0;0;0;0;0
9;4;2010;0;0;0;0;0;0;0
9;5;2010;0;0;0;0;0;0;0
9;6;2010;0;427;0;0;0;0;0
9;7;2010;0;0;0;0;0;0;0
9;8;2010;0;429;0;0;0;0;0
9;9;2010;0;405;0;0;0;0;0
9;10;2010;0;0;0;0;0;0;0
9;11;2010;0;0;0;0;0;0;0
9;12;2010;0;562;0;0;0;0;0
9;13;2010;0;0;0;0;0;0;0
9;14;2010;0;0;0;0;0;0;0
9;15;2010;0;493;0;0;0;0;0
